With Text Processing,,,,,,,,,,,,,,,,,,
,question,category,retrieval_avg_similarity,retrieval_max_similarity,retrieval_min_similarity,retrieval_std_similarity,retrieval_num_docs,retrieval_diversity,keyword_coverage,length_word_count,length_char_count,length_sentence_count,hallucination_has_uncertainty,hallucination_has_hedging,hallucination_uncertainty_count,context_utilization,Query time (s),Successful?
,What is the potential career path after studying in BEng Scheme in EE?,career,0.653879459,0.661974396,0.649471755,0.004546321,5,0.118749846,0.75,907,6757,76,TRUE,FALSE,4,0.329218107,85.81,Yes
,How can I apply for residential hall in the PolyU?,facility,0.71250055,0.735385237,0.702407326,0.011933159,5,0.140172229,0.75,607,4887,71,TRUE,TRUE,4,0.393203883,78.95,Yes
,What courses are offered in the first year in Master of Science in EIE?,curriculum,0.705386723,0.712420886,0.700796211,0.004204343,5,0.066556298,0.75,730,4934,47,TRUE,FALSE,1,0.396984925,97.84,Partial
,I am a year 3 student studying in BSc Information Security. What should I do if I failed a subject?,academic,0.644259571,0.684621886,0.631013919,0.020302831,5,0.225223929,0.5,527,3403,38,TRUE,TRUE,3,0.193333333,56.48,Yes
,Are there any internship opportunities available?,internship,0.644896797,0.651526795,0.63752751,0.004977821,5,0.02765232,1,416,3380,46,TRUE,FALSE,3,0.423076923,51.45,Yes
,,,,,,,,,,,,,,,,,,
No Text Processing,,,,,,,,,,,,,,,,,,
,question,category,retrieval_avg_similarity,retrieval_max_similarity,retrieval_min_similarity,retrieval_std_similarity,retrieval_num_docs,retrieval_diversity,keyword_coverage,length_word_count,length_char_count,length_sentence_count,hallucination_has_uncertainty,hallucination_has_hedging,hallucination_uncertainty_count,context_utilization,Query time (s),Successful?
,What is the potential career path after studying in BEng Scheme in EE?,career,0.6215888589433894,0.626807727,0.6171120660880536,0.003841636,5,0.18588021169522562,0.5,514,3756,49,TRUE,TRUE,5,0.1583710407239819,57.78,Yes
,How can I apply for residential hall in the PolyU?,facility,0.6951042347061027,0.7337525757553797,0.6717704151924558,0.021058209,5,0.3330664559281209,0.75,628,4461,60,TRUE,TRUE,4,0.22614840989399293,82.42,Yes
,What courses are offered in the first year in Master of Science in EIE?,curriculum,0.6874056669682136,0.6980974537101556,0.6804688978828805,0.006764035,5,0.09545669,1,813,5271,42,TRUE,FALSE,2,0.4076086956521739,114.91,No
,I am a year 3 student studying in BSc Information Security. What should I do if I failed a subject?,academic,0.6336713675544158,0.6723179461030306,0.61839836,0.02004421,5,0.34574050291503533,0.5,322,2064,21,TRUE,FALSE,2,0.21691176470588236,48.21,Yes
,Are there any internship opportunities available?,internship,0.6807122149769347,0.6831016203835494,0.6711545933504759,0.004778811,5,0.027603716912275367,0.75,261,1767,19,TRUE,FALSE,1,0.6470588235294118,38.21,Yes
,,,,,,,,,,,,,,,,,,
RAG-Fusion,,,,,,,,,,,,,,,,,,
,question,category,retrieval_avg_similarity,retrieval_max_similarity,retrieval_min_similarity,retrieval_std_similarity,retrieval_num_docs,retrieval_diversity,keyword_coverage,length_word_count,length_char_count,length_sentence_count,hallucination_has_uncertainty,hallucination_has_hedging,hallucination_uncertainty_count,context_utilization,Query time (s),Successful?
,What is the potential career path after studying in BEng Scheme in EE?,career,0.624529224,0.661974396,0.549621041,0.041912281,10,0.201117826,1,894,6476,88,TRUE,TRUE,4,0.213793103,172.28,Yes
,How can I apply for residential hall in the PolyU?,facility,0.676912115,0.735385237,0.633529796,0.030030213,8,0.202989417,1,648,4438,58,TRUE,TRUE,3,0.254950495,122.9,Yes
,What courses are offered in the first year in Master of Science in EIE?,curriculum,0.697729923,0.712420886,0.675599203,0.013547348,4,0.150369356,1,562,3784,40,TRUE,TRUE,1,0.328767123,123.06,Yes
,I am a year 3 student studying in BSc Information Security. What should I do if I failed a subject?,academic,0.598696003,0.684621886,0.51704653,0.052919259,10,0.294485475,0.5,515,3584,37,TRUE,FALSE,3,0.136904762,129.5,Yes
,Are there any internship opportunities available?,internship,0.6409414,0.651526795,0.627508724,0.008781262,6,0.178826913,1,379,2990,38,TRUE,FALSE,2,0.2,104.05,Yes
,,,,,,,,,,,,,,,,,,
Step-back,,,,,,,,,,,,,,,,,,
,question,category,retrieval_avg_similarity,retrieval_max_similarity,retrieval_min_similarity,retrieval_std_similarity,retrieval_num_docs,retrieval_diversity,keyword_coverage,length_word_count,length_char_count,length_sentence_count,hallucination_has_uncertainty,hallucination_has_hedging,hallucination_uncertainty_count,context_utilization,Query time (s),Successful?
,What is the potential career path after studying in BEng Scheme in EE?,career,0.618920355,0.654410604,0.565963078,0.036300934,6,0.188239211,0.75,826,6196,68,TRUE,FALSE,4,0.241758242,164.65,Yes
,How can I apply for residential hall in the PolyU?,facility,0.69729954,0.735385237,0.660985822,0.024241591,6,0.189386694,0.75,706,5006,69,TRUE,TRUE,3,0.279461279,130.18,Yes
,What courses are offered in the first year in Master of Science in EIE?,curriculum,0.692526478,0.712420886,0.639675385,0.026748624,5,0.14408649,1,922,6243,57,TRUE,FALSE,3,0.367768595,197.91,Partial
,I am a year 3 student studying in BSc Information Security. What should I do if I failed a subject?,academic,0.580820933,0.684621886,0.502677732,0.072242028,6,0.305430333,0.5,467,2984,31,TRUE,FALSE,2,0.187335092,103.77,Yes
